路線,設施名稱,里程
快速公路62號,安樂端,0
快速公路62號,瑪東系統,2
快速公路62號,七堵一,3.7
快速公路62號,七堵二,5.9
快速公路62號,大華系統,6.2
快速公路62號,暖暖,9.4
快速公路62號,四腳亭,13.9
快速公路62號,瑞芳,16
快速公路62號,瑞濱端,18.6
快速公路64號,八里二,0
快速公路64號,八里,1.2
快速公路64號,觀音山,6.4
快速公路64號,五股一,10
快速公路64號,五股二,11.8
快速公路64號,三重,14.3
快速公路64號,江子翠,17.8
快速公路64號,板橋,20.8
快速公路64號,中和一,23.2
快速公路64號,中和,24.5
快速公路64號,中和二,26.5
快速公路64號,新店端,28.4
快速公路72號,後龍(規劃中),0
快速公路72號,後龍端,2.4
快速公路72號,新港,5.2
快速公路72號,造橋,6.7
快速公路72號,頭屋一,10.1
快速公路72號,頭屋二,12.8
快速公路72號,新東(規劃中),14.3
快速公路72號,公館,15.8
快速公路72號,銅鑼系統(規劃中),
快速公路72號,銅鑼,20.8
快速公路72號,縣道119甲線平交路口,23
快速公路72號,石圍墻平交路口,25
快速公路72號,開礦村一號平交路口,26
快速公路72號,開礦村二號平交路口,29
快速公路72號,開礦村三號平交路口,30
快速公路72號,獅潭端,30.7
快速公路74號,快官,0
快速公路74號,成功,1.7
快速公路74號,高鐵台中,4
快速公路74號,南屯一,5
快速公路74號,南屯二,7.8
快速公路74號,西屯一,8.4
快速公路74號,西屯二,10
快速公路74號,西屯三,10.9
快速公路74號,北屯一,13
快速公路74號,北屯二,14.8
快速公路74號,崇德,16.9
快速公路74號,潭子,18.8
快速公路74號,潭子系統,20.1
快速公路74號,松竹,22.8
快速公路74號,太原,24.4
快速公路74號,太平,26.9
快速公路74號,大里一,30.1
快速公路74號,大里二,32.9
快速公路74號,草湖,34.7
快速公路74號,霧峰,37.7
快速公路74甲,快官,0
快速公路74甲,牛埔,1
快速公路74甲,安溪寮平交路口,4.2
快速公路74甲,銀行山平交路口,4.8
快速公路74甲,草仔埔平交路口,5.1
快速公路74甲,姜仔寮平交路口,7.6
快速公路74甲,花壇平交路口,9.5
快速公路74甲,橋仔頭平交路口,9.8
快速公路74甲,東彰北路平交路口,10
快速公路74甲,中庄平交路口,10.2
快速公路74甲,花壇端,10.53
快速公路76號,芳苑,0
快速公路76號,台17線平交路口,0.3
快速公路76號,彰157線平交路口,1.1
快速公路76號,彰121線平交路口,2.1
快速公路76號,寮湖路平交路口,3.2
快速公路76號,彰123線平交路口,3.7
快速公路76號,彰122線平交路口,4
快速公路76號,彰125線平交路口,4.9
快速公路76號,縣道143號平交路口,6.1
快速公路76號,彰127線平交路口,7
快速公路76號,彰126線平交路口,8
快速公路76號,安殿巷平交路口,8.3
快速公路76號,中科二林大道平交路口,9.6
快速公路76號,彰129-2線平交路口,10
快速公路76號,彰128線平交路口,10.8
快速公路76號,萬興,11.6
快速公路76號,新水,16.6
快速公路76號,埔鹽,11.9
快速公路76號,埔鹽系統,15.3
快速公路76號,埔心,19.1
快速公路76號,員林,22.9
快速公路76號,林厝,26.8
快速公路76號,中興系統,32.6
快速公路78號,台西,0
快速公路78號,台西,1
快速公路78號,東勢,8.2
快速公路78號,元長,15.1
快速公路78號,土庫,22
快速公路78號,虎尾,25.4
快速公路78號,雲林系統,30.4
快速公路78號,斗南,32.6
快速公路78號,古坑,39.4
快速公路78號,古坑系統,42.8
快速公路82號,東石端,0.525
快速公路82號,平交路口,0.6
快速公路82號,東石平交路口,0.8
快速公路82號,台61線平交路口,2
快速公路82號,永屯平交路口,3
快速公路82號,平交路口,4.3
快速公路82號,洲仔平交路口,4.5
快速公路82號,平交路口,5.1
快速公路82號,平交路口,5.4
快速公路82號,洲仔平交路口,5.7
快速公路82號,平交路口,6
快速公路82號,港墘平交路口,6.2
快速公路82號,平交路口,6.5
快速公路82號,平交路口,6.9
快速公路82號,平交路口,7.3
快速公路82號,樹林頭,8.1
快速公路82號,朴子,10.1
快速公路82號,祥和,14.4
快速公路82號,鹿草,18.6
快速公路82號,嘉義系統,22.5
快速公路82號,水上,25.9
快速公路82號,中和,30.6
快速公路82號,嘉義,32.7
快速公路82號,水上系統,34
快速公路84號,北門,0
快速公路84號,學甲,8.6
快速公路84號,下營系統,14
快速公路84號,麻豆,17.6
快速公路84號,西庄,21.2
快速公路84號,渡頭,26.5
快速公路84號,官田系統,27.8
快速公路84號,頭社,32.5
快速公路84號,二溪,35.2
快速公路84號,環湖平交路口,37.8
快速公路84號,走馬瀨農場平交路口,37.9
快速公路84號,內豐平交路口,38.3
快速公路84號,口豐平交路口,38.9
快速公路84號,豐里平交路口,39.3
快速公路84號,平交路口,40.2
快速公路84號,玉豐平交路口,40.9
快速公路84號,玉井平交路口,41.1
快速公路84號,玉井端,41.8
快速公路86號,台南端,0
快速公路86號,明興路,0.1
快速公路86號,灣裡,2
快速公路86號,台南,5.3
快速公路86號,仁德系統,8.7
快速公路86號,上崙,10.3
快速公路86號,大潭,11.8
快速公路86號,歸仁系統(規劃中),
快速公路86號,歸仁,16.9
快速公路86號,台19甲線平交路口,17.4
快速公路86號,關廟,20
快速公路86號,湯山(規劃中),22
快速公路86號,龍崎平交路口(規劃中),24.3
快速公路86號,龍船平交路口(規劃中),30.1
快速公路86號,內門端(規劃中),35.8
